isbn_10,orig_title,orig_publication_yr,language_code
316160202,Eclipse,2007,eng
375826696,Eragon,2002,eng
345391802,The Hitchhiker's Guide to the Galaxy,1979,eng
60929871,Brave New World,1932,eng
031606792X,Breaking Dawn,2008,eng
142001740,The Secret Life of Bees,2001,eng
142437174,The Adventures of Huckleberry Finn,1884,eng
64410935,Charlotte's Web,1952,eng
1400032717,The Curious Incident of the Dog in the Night-Time,2003,eng
1594633665,The Girl on the Train,2015,eng
679879242,Northern Lights,1995,eng
393978893,Wuthering Heights,1847,eng
743454537,My Sister's Keeper,2004,eng
385333846,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",1969,eng
446675539,Gone with the Wind,1936,eng
1594489505,A Thousand Splendid Suns,2007,eng
671027344,The Perks of Being a Wallflower,1999,eng
7442912,Insurgent,2012,eng
812550706,Ender's Game,1985,eng
450040186,The Shining,1977,eng
316068047,The Host,2008,eng
142402516,Looking for Alaska,2005,eng
014028009X,,1996,eng
141439661,Sense and Sensibility,1811,eng
439244196,Holes,1998,eng
307275558,The Devil Wears Prada,2003,eng
143039954,The Odyssey,-720,eng
156012197,Le Petit Prince,1946,eng
074324754X,The Glass Castle,2005,eng
385486804,Into the Wild,1996,eng
141439602,A Tale of Two Cities,1859,eng
60256656,The Giving Tree,1964,eng
385338600,A Time to Kill,1989,eng
374500010,Un di Velt Hot Geshvign,1958,eng
014241493X,Paper Towns,2008,eng
345418263,The Princess Bride,1973,eng
014038572X,The Outsiders,1967,eng
385737947,The Maze Runner,2009,eng
61234001,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,2005,eng
517189607,The Secret Garden,1911,eng
60531045,Cien años de soledad,1967,eng
375751513,The Picture of Dorian Gray,1891,eng
345803507,Fifty Shades Freed,2012,eng
393970124,Dracula,1897,eng
307269981,Flickan som lekte med elden,2006,eng
1612130585,Fifty Shades Darker,2011,eng
60786507,The Poisonwood Bible,1998,eng
349113912,Me Talk Pretty One Day,2000,eng
99408392,Where the Wild Things Are,1963,eng
140449264,Le Comte de Monte-Cristo,1844,eng
307265439,The Road,2006,eng
7524277,Allegiant,2013,eng
440241413,Confessions of a Shopaholic,2000,eng
451525264,Les Misérables,1862,eng
553381695,A Clash of Kings,1998,eng
143037145,The Memory Keeper's Daughter,2005,eng
684833395,Catch-22,1961,eng
751529818,Tuesdays with Morrie,1997,eng
312422156,Middlesex,2002,eng
143039563,The Adventures of Tom Sawyer,1876,eng
143038095,The Joy Luck Club,1989,eng
038549081X,The Handmaid's Tale,1985,eng
385729332,The Sisterhood of the Traveling Pants,2001,eng
60987103,Wicked: The Life and Times of the Wicked Witch of the West,1995,eng
582418275,The Firm,1991,eng
521618746,"The Tragicall Historie of Hamlet, Prince of Denmark",1600,eng
316346624,The Tipping Point: How Little Things Can Make a Big Difference,2000,eng
1451648537,Steve Jobs,2011,eng
451163966,One Flew Over the Cuckoo's Nest,1962,eng
684830493,The Old Man and the Sea,1952,eng
142000663,The Grapes of Wrath,1939,eng
1401308589,The Five People You Meet in Heaven,2003,eng
451528824,Anne of Green Gables,1908,eng
1416914307,City of Glass,2009,eng
055357342X,A Storm of Swords,2000,eng
006075995X,Divine Secrets of the Ya-Ya Sisterhood,1996,eng
440242940,Outlander,1991,eng
142437263,The Scarlet Letter,1850,eng
1594744769,Miss Peregrine’s Home for Peculiar Children,2011,eng
030726999X,Luftslottet som sprängdes,2007,eng
804139024,The Martian,2012,eng
451207149,The Pillars of the Earth,1989,eng
1476746583,,2014,eng
1400064163,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2010,eng
671027387,Deception Point,2001,eng
316055433,The Goldfinch,2013,eng
452287022,Girl with a Pearl Earring,1999,eng
525421033,If I Stay,2009,eng
312353766,The Red Tent,1997,eng
786856866,The Sea of Monsters,2006,eng
446528056,Dear John,2006,eng
1416914293,City of Ashes,2008,eng
743477103,The Tragedy of Macbeth,1606,eng
618346260,The Two Towers,1954,eng
031232118X,Something Borrowed,2004,eng
394800168,Green Eggs and Ham,1960,eng
142403881,Charlie and the Chocolate Factory,1964,eng
1423101464,The Battle of the Labyrinth,2008,eng
192833596,Great Expectations,1860,eng
142311339X,The Lost Hero,2010,eng
1250012570,Eleanor & Park,2013,eng
055358202X,A Feast for Crows,2005,eng
525423648,Matched,2010,eng
747263744,American Gods,2001,eng
385199570,The Stand,1978,eng
446547565,The Last Song,2008,eng
552151696,Digital Fortress,1998,eng
141439580,Emma,1815,eng
345803922,Анна Каренина,1877,eng
739380338,The Last Olympian,2009,eng
451169514,It,1986,eng
143058142,Преступление и наказание,1866,eng
61148512,The Bell Jar,1963,eng
7205236,Angela's Ashes: A Memoir,1996,eng
553208845,Siddhartha,1922,eng
679745580,In Cold Blood,1965,eng
316042676,Beautiful Creatures,2009,eng
1416975861,Clockwork Angel,2010,eng
141301066,Matilda,1988,eng
385534639,The Night Circus,2011,eng
743227441,The Other Boleyn Girl,2001,eng
689865384,Uglies,2005,eng
618640150,The Lord of the Rings,1955,eng
307592731,Wild: From Lost to Found on the Pacific Crest Trail ,2012,eng
930289234,Watchmen,1987,eng
075640407X,The Name of the Wind,2007,eng
316017922,Outliers: The Story of Success,2008,eng
142437247,"Moby Dick; or, The Whale",1851,eng
441008534,Dead Until Dark,2001,eng
739461192,Marley & Me: Life and Love with the World's Worst Dog,2005,eng
312330871,Ten Little Niggers,1939,eng
385504225,The Lost Symbol,2009,eng
1416989412,"Hush, Hush",2009,eng
1561797464,A Christmas Carol,1843,eng
345476875,Interview with the Vampire,1976,eng
62059939,The Selection,2012,eng
312362080,One for the Money,1994,eng
1400052173,The Immortal Life of Henrietta Lacks,2010,eng
99446782,The Silence of the Lambs,1988,eng
159514174X,,2007,eng
316010669,Blink: The Power of Thinking Without Thinking,2005,eng
038572179X,Atonement,2001,eng
553213695,Die Verwandlung,1915,eng
141382899,The Titan's Curse,2007,eng
030788743X,,2011,eng
1554681723,The Art of Racing in the Rain,2006,eng
425263908,Bared to You,2012,eng
66238501,The Chronicles of Narnia,1956,eng
316043133,Twilight: The Complete Illustrated Movie Companion,2008,eng
1558743669,"A Child Called ""It"": One Child's Courage to Survive",1995,eng
752864327,The Bourne Identity,1980,eng
786817879,Artemis Fowl,2001,eng
385738935,Fallen,2009,eng
142000655,East of Eden  ,1952,eng
307341569,Dark Places,2009,eng
385339089,The Client,1993,eng
312291639,The Nanny Diaries,2002,eng
451527747,Alice's Adventures in Wonderland,1865,eng
192802631,Persuasion,1817,eng
312370830,Elle s'appelait Sarah,2007,eng
452284694,The Gunslinger,1982,eng
140003468X,El amor en los tiempos del cólera,1985,eng
399159347,The Husband's Secret ,2013,eng
385494785,Into Thin Air: A Personal Account of the Mt. Everest Disaster,1997,eng
1416524304,Carrie,1974,eng
031242227X,Running with Scissors,2002,eng
307346609,World War Z: An Oral History of the Zombie War,2006,eng
385537859,Inferno,2013,eng
440227534,Number the Stars,1989,eng
446692638,Along Came a Spider,1993,eng
450417395,Misery,1987,eng
307341542,Sharp Objects,2006,eng
312360266,Marked,2007,eng
743269519,The 7 Habits of Highly Effective People,1989,eng
743477545,A Midsummer Night's Dream,1595,eng
618711651,Extremely Loud and Incredibly Close,2005,eng
375869026,Wonder,2012,eng
039480001X,The Cat in the Hat,1957,eng
316206849,The Cuckoo's Calling,2013,eng
545123267,Shiver,2009,eng
452011876,Atlas Shrugged,1957,eng
143038257,Three Cups of Tea ,2006,eng
517223627,,1865,eng
143034901,La sombra del viento,2001,eng
385738757,The Scorch Trials,2010,eng
767900383,Under the Tuscan Sun,1996,eng
590920685,Ella Enchanted,1997,eng
743297334,The Sun Also Rises,1926,eng
61120073,A Tree Grows In Brooklyn ,1943,eng
446677388,Kiss the Girls,1995,eng
312577222,The Nightingale,2015,eng
1400078776,Never Let Me Go,2005,eng
786890754,"PS, I Love You",2003,eng
1844080382,Rebecca,1938,eng
552995878,Como agua para chocolate,1989,eng
451205766,The Godfather,1969,eng
525476881,An Abundance of Katherines,2006,eng
553803719,Foundation,1951,eng
62255657,The Ocean at the End of the Lane,2013,eng
60513063,A Light in the Attic,1981,eng
751565350,"Harry Potter and the Cursed Child, Parts One and Two",2016,eng
61726834,Delirium,2011,eng
385339704,The Pelican Brief,1992,eng
61139378,Coraline,2002,eng
60853980,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",1990,eng
140042598,On the Road,1955,eng
1476729085,The Rosie Project,2013,eng
446579939,The Lucky One,2008,eng
451191153,The Fountainhead,1943,eng
425172902,The Hunt for Red October,1984,eng
038039586X,Watership Down,1972,eng
307886263,Is Everyone Hanging Out Without Me? (And Other Concerns),2011,eng
375414495,Cutting for Stone,2009,eng
006112527X,The Voyage of the Dawn Treader,1951,eng
753453800,Treasure Island,1882,eng
1423140591,The Son of Neptune ,2011,eng
1451627289,11/22/1963,2011,eng
241003008,The Very Hungry Caterpillar,1969,eng
140285601,Cat's Cradle,1963,eng
451528557,The Time Machine,1895,eng
849946158,,2010,eng
385751060,The Boy in the Striped Pyjamas,2006,eng
1892295490,Heart of Darkness,1899,eng
1582701709,The Secret,2006,eng
60987561,I Know This Much Is True ,1998,eng
1416524347,Pet Sematary,1983,eng
671021001,She's Come Undone,1992,eng
756404738,The Wise Man's Fear,2011,eng
440241901,Can You Keep a Secret?,2003,eng
1442403543,City of Fallen Angels,2011,eng
743418174,Good in Bed,2001,eng
380018179,The Thorn Birds,1977,eng
60530928,The Graveyard Book,2008,eng
1451681739,The Light Between Oceans,2012,eng
439709105,Tintenherz,2003,eng
91883768,Who Moved My Cheese?,1998,eng
307279464,A Walk in the Woods,1997,eng
553279378,I Know Why the Caged Bird Sings,1969,eng
61950726,Orphan Train,2013,eng
1442416866,City of Lost Souls,2012,eng
316204277,"Where'd You Go, Bernadette",2012,eng
375806814,Where the Red Fern Grows,1961,eng
60557818,Neverwhere,1996,eng
571224385,Nesnesitelná lehkost bytí,1984,eng
552135399,A Prayer for Owen Meany,1989,eng
316182540,White Oleander,1999,eng
039925675X,Legend,2011,eng
743496728,Nineteen Minutes,2007,eng
812511816,The Eye of the World,1990,eng
61150142,The Pact,1998,eng
60764902,The magician's nephew,1953,eng
595440096,Still Alice,2007,eng
425263916,Reflected in You,2012,eng
375814248,James and the Giant Peach,1961,eng
446696617,1st To Die,2001,eng
345453743,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,1996,eng
340896965,One Day,2009,eng
60775858,,1947,eng
61969559,I Am Number Four,2010,eng
140275363,Ἰλιάς,-750,eng
316228532,The Casual Vacancy,2012,eng
385339690,The Runaway Jury,1996,eng
316777730,Naked,1997,eng
375840400,Eldest,2005,eng
140621679,The Wonderful Wizard of Oz,1900,eng
000720230X,Prince Caspian: The Return to Narnia,1951,eng
450031063,Salem's Lot,1975,eng
679785892,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,1971,eng
1416975888,Clockwork Prince,2011,eng
62268341,Yes Please,2014,eng
743477553,"The Tragedy of Othello, The Moor of Venice",1603,eng
1400033411,Beloved,1987,eng
015206396X,Graceling,2008,eng
439206472,The Bad Beginning,1999,eng
449213943,Im Westen nichts Neues,1929,eng
679805273,"Oh, the Places You'll Go!",1990,eng
159463176X,And The Mountains Echoed,2012,eng
141439742,Oliver Twist,1838,eng
525423273,Anna and the French Kiss,2010,eng
7173040,How the Grinch Stole Christmas!,1957,eng
1401207928,V for Vendetta,1990,eng
743223136,John Adams,2001,eng
553384287,Odd Thomas,2003,eng
439488400,Stargirl,2000,eng
1423113381,The Red Pyramid,2010,eng
441788386,Stranger in a Strange Land,1961,eng
965904830,Dress Your Family in Corduroy and Denim,2004,eng
141311371,The BFG,1982,eng
076790818X,A Short History of Nearly Everything,2003,eng
439227143,The Call of the Wild,1903,eng
385738773,The Death Cure,2011,eng
61142026,Stardust,1999,eng
618485228,The Namesake,2003,eng
670022411,A Discovery of Witches,2011,eng
375704027,ノルウェイの森 [Noruwei no Mori],1987,eng
446672211,Where the Heart Is,1995,eng
525421580,"Will Grayson, Will Grayson",2010,eng
307276902,A Million Little Pieces,2003,eng
1595141758,Frostbite,2008,eng
307352145,Quiet: The Power of Introverts in a World that Can't Stop Talking,2012,eng
142437336,The Crucible,1953,eng
689840926,Hatchet,1986,eng
076531178X,Mistborn : The Final Empire,2006,eng
451528956,The Strange Case of Dr Jekyll and Mr Hyde,1886,eng
679889108,The Lorax,1971,eng
810993139,Greg Heffley's Journal,2004,eng
1599906953,Throne of Glass,2012,eng
1595141979,Shadow Kiss,2008,eng
684803356,For Whom the Bell Tolls,1940,eng
345505336,Hotel on the Corner of Bitter and Sweet,2009,eng
140120831,Das Parfum. Die Geschichte eines Mörders,1985,eng
60838582,Fast Food Nation : The Dark Side of the All-American Meal ,2001,eng
747599874,The Tales of Beedle the Bard,2007,eng
99910101,A Farewell to Arms,1929,eng
553212281,The Tell-Tale Heart,1843,eng
1590302257,孫子兵法 [Sūnzi bīngfǎ],-500,eng
385344228,Defending Jacob,2012,eng
385334206,Breakfast of Champions,1973,eng
874774241,Drawing on the Right Side of the Brain,1979,eng
60838728,Bel Canto,2001,eng
739467352,"Guns, Germs, and Steel: The Fates of Human Societies",1997,eng
375508414,Fried Green Tomatoes at the Whistle Stop Cafe,1987,eng
385474547,Things Fall Apart,1958,eng
385338694,The Undomestic Goddess,2005,eng
1881273156,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,1990,eng
1416589643,The Other Hand,2008,eng
031253275X,Evermore,2009,eng
590032496,The Witches,1983,eng
743298020,The Thirteenth Tale,2006,eng
1595142509,Spirit Bound,2010,eng
1595141987,Blood Promise,2009,eng
446676071,Message in a Bottle,1998,eng
345521307,The Paris Wife,2011,eng
545044251,Complete Harry Potter Boxed Set,1998,eng
62059963,The Elite,2013,eng
156001314,Il nome della rosa,1980,eng
1416914633,Go Ask Alice,1971,eng
802130208,A Confederacy of Dunces,1980,eng
158049580X,The Importance of Being Earnest,1895,eng
1423140605,The Mark of Athena,2012,eng
60855924,The Colour of Magic,1983,eng
1400079276,海辺のカフカ [Umibe no Kafuka],2002,eng
525945563,Red Dragon,1981,eng
553803700,"I, Robot",1950,eng
451216954,Dark Lover,2005,eng
1416989439,Crescendo,2010,eng
61726818,Before I Fall,2010,eng
679457313,The God of Small Things,1997,eng
670024783,The Invention of Wings,2014,eng
141043768,What Alice Forgot,2009,eng
553380168,A Brief History of Time: From the Big Bang to Black Holes,1987,eng
525951652,Fall of Giants,2010,eng
1439148503,Under the Dome,2009,eng
670061050,Just Listen,2006,eng
525467564,Winnie-the-Pooh,1926,eng
62060554,Before I Go to Sleep,2011,eng
1420925539,A Study in Scarlet,1887,eng
375826726,Brisingr,2008,eng
310276993,The Purpose Driven Life: What on Earth am I Here For?,2002,eng
312360282,Betrayed: a House of Night Novel,2007,eng
451457811,Storm Front,2000,eng
1593082649,Northanger Abbey,1817,eng
399162410,The 5th Wave,2013,eng
802142842,Cold Mountain,1997,eng
60245867,If You Give a Mouse a Cookie,1985,eng
312323867,Something Blue,2005,eng
822210894,A Streetcar Named Desire,1947,eng
385353308,Station Eleven,2014,eng
1476738017,En man som heter Ove,2012,eng
1406321346,Clockwork Princess,2013,eng
1416500189,The Good Earth,1931,eng
140135154,Ways of Seeing,1972,eng
385335970,Dragonfly in Amber,1992,eng
743495667,In Her Shoes,2002,eng
345368584,The Hobbit,1989,eng
1594489580,The Brief Wondrous Life of Oscar Wao,2007,eng
61120065,Their Eyes Were Watching God,1937,eng
439321603,Fantastic Beasts and Where to Find Them,2001,eng
316322407,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,2012,eng
141439807,Mansfield Park,1814,eng
080701429X,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,1946,eng
618680004,The God Delusion,2006,eng
525422943,Where She Went,2011,eng
345915593,The World According to Garp,1978,eng
515141429,Killing Floor,1997,eng
375757325,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",1719,eng
937832383,Il Principe,1513,eng
440238153,The Amber Spyglass,2000,eng
765346524,Wizard's First Rule,1994,eng
1439153663,The Kitchen House,2010,eng
316769029,Franny and Zooey,1961,eng
385720920,Choke,2001,eng
374528373,Братья Карамазовы,1880,eng
375822747,The City of Ember,2003,eng
60541814,The Andromeda Strain,1969,eng
451933028,The Green Mile,1996,eng
000100039X,The Prophet,1923,eng
312379838,Untamed: A House of Night Novel,2008,eng
812550757,Speaker for the Dead,1986,eng
1400031702,The Secret History,1992,eng
375725784,A Heartbreaking Work of Staggering Genius,2000,eng
439228905,Black Beauty,1877,eng
192833987,Война и миръ,1869,eng
679735771,American Psycho,1991,eng
613371658,The Princess Diaries,2000,eng
1400034779,The No. 1 Ladies' Detective Agency ,1998,eng
1582406723,"The Walking Dead, Vol. 1: Days Gone Bye",2004,eng
451457994,2001: A Space Odyssey,1968,eng
1590525132,,1991,eng
842342702,Left Behind:  A Novel of the Earth's Last Days,1995,eng
62059998,The One,2014,eng
545265355,The Hunger Games Box Set,2010,eng
805063897,Nickel and Dimed: On (Not) Getting By in America,2001,eng
593053893,Remember Me?,2008,eng
812517725,The Great Hunt,1990,eng
743477154,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,1990,eng
385074077,The Complete Tales of Edgar Allan Poe,1849,eng
553256696,The Hiding Place,1971,eng
192835084,The Adventures of Sherlock Holmes,1892,eng
553381547,The Prince of Tides,1986,eng
312282990,The Amazing Adventures of Kavalier & Clay,2000,eng
802798233,Perfect Chemistry,2008,eng
805072454,Peter Pan,1904,eng
689865392,Pretties,2005,eng
965341984,ねじまき鳥クロニクル [Nejimakidori kuronikuru],1994,eng
375507256,Cloud Atlas,2004,eng
767902890,The Things They Carried,1990,eng
1844137872,Wall and Piece,1988,eng
006197806X,Pandemonium,2012,eng
307277887,Darkly Dreaming Dexter,2004,eng
1841493007,Living Dead in Dallas,2002,eng
765305119,The Dragon Reborn ,1991,eng
141439491,Gulliver’s Travels,1726,eng
743482751,Much Ado About Nothing,1598,eng
393320979,Beowulf,975,eng
1401207529,Batman: Year One,1987,eng
62409859,Go Set a Watchman,2015,eng
316143472,When You Are Engulfed in Flames,2008,eng
316134023,Daughter of Smoke & Bone,2011,eng
1409151174,Red Queen,2015,eng
1400069289,The Power of Habit,2011,eng
679751521,Midnight in the Garden of Good and Evil,1994,eng
1301949825,Hopeless,2012,eng
142437018,A Little Princess,1905,eng
142406252,The Truth About Forever,2004,eng
1595143068,Last Sacrifice ,2010,eng
64400026,Little House on the Prairie,1935,eng
380002558,The Velveteen Rabbit,1922,eng
60589469,Zen and the Art of Motorcycle Maintenance,1974,eng
375759239,The War of the Worlds,1897,eng
60887303,Pretty Little Liars,2006,eng
670241334,Corduroy,1948,eng
1594200823,The Omnivore's Dilemma,2006,eng
316176486,Life After Life,2013,eng
446696129,The Rescue,2000,eng
045057458X,Needful Things,1991,eng
385335997,Voyager,1993,eng
393315053,,1996,eng
307348245,Cujo,1981,spa
747560595,The Virgin Suicides,1993,eng
441012183,Dead to the World,2004,eng
141439599,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,1891,eng
192840398,Madame Bovary,1856,eng
394820371,The Phantom Tollbooth,1961,eng
765326353,The Way of Kings,2010,eng
1841493015,Club Dead,2003,eng
078685197X,It's Kind of a Funny Story,2006,eng
765316889,,2007,eng
034552554X,The Language of Flowers,2011,eng
156389341X,Batman: The Dark Knight Returns,1986,eng
446617792,The Angel Experiment,2005,eng
1573225517,High Fidelity,1995,eng
446696110,The Guardian,2003,eng
385721676,Oryx and Crake,2003,eng
60574216,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",1998,eng
60899220,Kitchen Confidential: Adventures in the Culinary Underbelly,2000,eng
99244721,Timeline,1999,eng
486266893,Candide,1759,eng
374480095,Tuck Everlasting,1975,eng
2253147699,Christine,1983,fre
1713221,Are You My Mother?,1960,eng
071483355X,The Story of Art,1950,eng
312642962,Scarlet,2013,eng
751532711,"Rich Dad , Poor Dad",1997,eng
1442426640,Silence ,2011,eng
670020559,The Magicians,2009,eng
1421501686,デスノート #1 (Desu Nōto) Taikutsu (退屈),2004,eng
689875347,A Great and Terrible Beauty,2003,eng
60529709,Everything Is Illuminated,2002,eng
752863886,The Bourne Supremacy,1986,eng
425266745,Easy,2012,eng
140439447,David Copperfield,1849,eng
316013684,The Absolutely True Diary of a Part-Time Indian,2007,eng
679760806,Мастер и Маргарита,1967,eng
553383043,A Wizard of Earthsea,1968,eng
763616052,Because of Winn-Dixie,2000,eng
743253973,A Separate Peace,1959,eng
385339607,The Rainmaker,1995,eng
142437239,Don Quijote de La Mancha,1605,eng
6480098,Assassin's Apprentice,1995,eng
345418921,The Restaurant at the End of the Universe,1980,eng
385739141,Torment,2010,eng
723247706,The Tale of Peter Rabbit,1901,eng
64405044,The Silver Chair,1953,eng
765316897,The Hero of Ages,2008,eng
679746048,"Girl, Interrupted",1993,eng
61173398,"Are You There, Vodka? It's Me, Chelsea",2007,eng
743278909,Jonathan Livingston Seagull,1970,eng
1481426303,City of Heavenly Fire,2014,eng
920668372,Love You Forever,1986,eng
1416524517,Cell,2006,eng
067002581X,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,2013,eng
618391118,The Silmarillion,1977,eng
451210859,The Drawing of the Three,1987,eng
330449605,The Forgotten Garden,2008,eng
99428644,Der Prozeß,1925,eng
142501557,This Lullaby,2002,eng
743275012,Plain Truth,2000,eng
385523386,Orange Is the New Black: My Year in a Women's Prison,2010,eng
451528018,The Hound of the Baskervilles,1902,eng
374275637,"Thinking, Fast and Slow",2011,eng
689841582,"Are You There God? It's Me, Margaret",1970,eng
446612707,Nights in Rodanthe,2002,eng
1476754454,Mr. Mercedes,2014,eng
441014941,All Together Dead,2007,eng
375706771,Midwives,1997,eng
395389496,The Polar Express,1985,eng
140544518,The True Story of the Three Little Pigs,1989,eng
425134350,Patriot Games,1987,eng
61124265,Veronika decide morrer,1998,eng
385349947,"Lean In: Women, Work, and the Will to Lead",2013,eng
441013333,Dead as a Doornail ,2005,eng
62085484,"Shatter Me (Shatter Me, #1)",2011,eng
441783589,Starship Troopers,1959,eng
385342063,I've Got Your Number,2011,eng
1857993284,Sofies Verden,1991,eng
316134112,,2011,eng
553278223,The Martian Chronicles,1950,eng
307592839,A Visit From the Goon Squad,2010,eng
753454947,Heidi,1880,eng
61015725,Prey,2002,eng
7202326,The Last Battle,1956,eng
525950079,World Without End,2007,eng
312360304,Chosen: A House of Night Novel,2008,eng
60874163,"Beastly (Beastly, #1, Kendra Chronicles, #1)",2007,eng
140424385,Tales of Caunterbury,1390,eng
312348649,Baby Proof,2006,eng
375856110,Inheritance,2011,eng
307593312,いちきゅうはちよん [Ichi-Kyū-Hachi-Yon],2009,eng
1840224029,Uncle Tom's Cabin or Life Among the Lowly,1852,eng
60809248,Le Fantôme de l'Opéra,1909,eng
374158460,Freedom,2010,eng
142421715,Crossed,2011,eng
1423100034,"I'd Tell You I Love You, But Then I'd Have to Kill You",2006,eng
1416562591,The White Tiger,2008,eng
1841156736,The Corrections,2001,eng
1921351438,Dreams from My Father,1995,eng
60541830,Congo,1980,eng
689711735,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",1972,eng
618101365,Interpreter of Maladies,1999,eng
60838655,A People's History of the United States: 1492 to Present ,1980,eng
679745653,Breakfast at Tiffany's,1958,eng
345504968,The Passage,2010,eng
60515198,Anansi Boys,2005,eng
670011940,Along for the Ride,2009,eng
159420571X,Everything I Never Told You,2014,eng
553383809,La casa de los espíritus,1982,eng
451155750,The Dead Zone,1979,eng
646418432,The Mysterious Affair at Styles,1920,eng
425200450,Murder in the Calais Coach,1934,eng
307271080,Americanah,2013,eng
446611085,Suzanne's Diary for Nicholas,2001,eng
451167805,Firestarter,1980,eng
425263924,Entwined with You,2013,eng
307266303,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",2009,eng
1616203218,The Storied Life of A.J. Fikry,2014,eng
590133373,Mad About Madeline,1939,eng
1585424331,Think and Grow Rich,1937,eng
60885378,Little House In The Big Woods,1932,eng
765356155,Jonathan Strange & Mr Norrell,2004,eng
446696137,A Bend in the Road,2001,eng
1423146727,The House of Hades,2013,eng
61448761,Gone,2008,eng
446615862,The Wedding,2003,eng
743226720,1776,2005,eng
330419129,Under the Banner of Heaven: A Story of Violent Faith,2003,eng
61928127,Beautiful Ruins,2012,eng
307237699,The Audacity of Hope: Thoughts on Reclaiming the American Dream,2006,eng
743455967,On Writing: A Memoir of the Craft,1999,eng
312364083,Firefly Lane,2008,eng
345418972,Sphere,1987,eng
312348673,Love the One You're With,2008,eng
316206873,The Silkworm,2014,eng
345476883,The Vampire Lestat,1985,eng
62049801,State of Wonder,2011,eng
374533571,The Silver Linings Playbook,2008,eng
076072850X,Vingt Mille Lieues Sous les Mers,1869,eng
743272498,The Constant Princess,2005,eng
151009988,Mrs Dalloway,1925,eng
067102423X,Bag of Bones,1998,eng
786226749,The Cider House Rules,1985,eng
451190750,Thinner,1984,eng
014044906X,Le tour du monde en quatre-vingts jours,1872,eng
60739495,Walk Two Moons,1994,eng
60589280,Onze minutos,2003,eng
316767727,Nine Stories,1953,eng
031610969X,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",2005,eng
1416912045,Unwind,2007,eng
399256768,Prodigy,2013,eng
074348276X,The Tragedie of King Lear,1603,eng
435233076,Death of a Salesman,1949,eng
446579920,The Choice,2007,eng
545422906,,2012,eng
452287588,A New Earth: Awakening to Your Life's Purpose,2005,eng
1591164419,BLEACH―ブリーチ―　1,2002,eng
