isbn_13,author
9780441008540,['Charlaine Harris']
9780739461200,['John Grogan']
9780312330870,['Agatha Christie']
9780385504220,['Dan Brown']
9781416989420,['Becca Fitzpatrick']
,['Jamie McGuire']
9781561797460,['Charles Dickens']
9780345476880,['Anne Rice']
9780062059930,['Kiera Cass']
9780312362090,['Janet Evanovich']
9781400052170,['Rebecca Skloot']
9780099446780,['Thomas Harris']
9781595141740,['Richelle Mead']
9780316010660,['Malcolm Gladwell']
9780385721790,['Ian McEwan']
9780553213690,"['Franz Kafka', 'Stanley Corngold']"
9780141382890,['Rick Riordan']
9780307887440,['Ernest Cline']
9781554681720,['Garth Stein']
9780425263910,['Sylvia Day']
9780066238500,"['C.S. Lewis', 'Pauline Baynes']"
9780316043140,['Mark Cotta Vaz']
9781558743660,['Dave Pelzer']
9780752864330,['Robert Ludlum']
9780786817870,['Eoin Colfer']
9780385738930,['Lauren Kate']
9780142000660,['John Steinbeck']
9780307341560,['Gillian Flynn']
9780385339090,['John Grisham']
9780312291630,"['Emma McLaughlin', 'Nicola Kraus']"
9780451527740,"['Lewis Carroll', 'John Tenniel', 'Martin Gardner']"
9780192802640,"['Jane Austen', 'James Kinsley', 'Deidre Shauna Lynch']"
9780312370830,['Tatiana de Rosnay']
9780452284690,['Stephen King']
9781400034680,"['Gabriel García Márquez', 'Edith Grossman']"
9780399159340,['Liane Moriarty']
9780385494790,['Jon Krakauer']
9781416524300,['Stephen King']
9780312422270,['Augusten Burroughs']
9780307346600,['Max Brooks']
9780385537860,['Dan Brown']
9780440227530,['Lois Lowry']
9780446692630,['James Patterson']
9780450417400,['Stephen King']
9780307341550,['Gillian Flynn']
9780312360270,"['P.C. Cast', 'Kristin Cast']"
9780743269510,['Stephen R. Covey']
9780743477540,"['William Shakespeare', 'Barbara A. Mowat', 'Paul Werstine', 'Catherine Belsey']"
9780618711660,['Jonathan Safran Foer']
9780375869020,['R.J. Palacio']
9780394800010,['Dr. Seuss']
9780316206850,"['Robert Galbraith', 'J.K. Rowling']"
9780545123270,['Maggie Stiefvater']
9780452011880,"['Ayn Rand', 'Leonard Peikoff']"
9780143038250,"['Greg Mortenson', 'David Oliver Relin']"
9780517223630,"['Jane Carruth', 'Lewis Carroll', 'Rene Cloke']"
9780143034900,"['Carlos Ruiz Zafón', 'Lucia Graves']"
9780385738750,['James Dashner']
9780671723650,['Dale Carnegie']
9780767900390,['Frances Mayes']
9780590920680,['Gail Carson Levine']
9780743297330,['Ernest Hemingway']
9780061120080,['Betty  Smith']
9780446677390,['James Patterson']
9780312577220,['Kristin Hannah']
9781400078780,['Kazuo Ishiguro']
9780786890750,['Cecelia Ahern']
9781844080380,"['Daphne du Maurier', 'Sally Beauman']"
9780552995870,"['Laura Esquivel', 'Thomas  Christensen', 'Carol Christensen']"
9780451205770,"['Mario Puzo', 'Robert Thompson', 'Peter Bart']"
9780525476890,['John Green']
9780553803720,['Isaac Asimov']
9780062255660,['Neil Gaiman']
9780060513060,['Shel Silverstein']
9780751565360,"['John Tiffany', 'Jack Thorne', 'J.K. Rowling']"
9780061726840,['Lauren Oliver']
9780385339700,['John Grisham']
9780061139380,['Neil Gaiman']
9780060853980,"['Terry Pratchett', 'Neil Gaiman']"
9780140042600,['Jack Kerouac']
9781476729080,['Graeme Simsion']
9780446579930,['Nicholas Sparks']
9780451191150,"['Ayn Rand', 'Leonard Peikoff']"
9780425172900,['Tom Clancy']
9780380395870,['Richard Adams']
9780307886260,['Mindy Kaling']
9780375414500,['Abraham Verghese']
9780061125270,"['C.S. Lewis', 'Pauline Baynes']"
9780753453800,['Robert Louis Stevenson']
9781423140600,['Rick Riordan']
9781451627280,['Stephen King']
9780241003010,['Eric Carle']
9780140285600,['Kurt Vonnegut Jr.']
9780451528550,"['H.G. Wells', 'Greg Bear', 'Carlo Pagetti']"
9780849946160,"['Todd Burpo', 'Lynn Vincent']"
9780385751060,['John Boyne']
9781892295490,['Joseph Conrad']
9781582701710,['Rhonda Byrne']
9780060987560,['Wally Lamb']
9781416524340,['Stephen King']
9780671021010,['Wally Lamb']
9780756404730,['Patrick Rothfuss']
9780440241900,['Sophie Kinsella']
9781442403540,['Cassandra Clare']
9780743418170,['Jennifer Weiner']
9780380018180,['Colleen McCullough']
9780060530920,"['Neil Gaiman', 'Dave McKean']"
9781451681730,['M.L. Stedman']
9780439709100,"['Cornelia Funke', 'Anthea Bell']"
9780091883770,"['Spencer Johnson', 'Kenneth H. Blanchard']"
9780307279460,['Bill Bryson']
9780553279380,['Maya Angelou']
9780061950730,['Christina Baker Kline']
9781442416860,['Cassandra Clare']
9780316204280,['Maria Semple']
9780375806810,['Wilson Rawls']
9780060557810,['Neil Gaiman']
9780571224390,"['Milan Kundera', 'Michael Henry Heim']"
,['Rainbow Rowell']
9780552135400,['John Irving']
9780316182550,['Janet Fitch']
9780399256750,['Marie Lu']
9780743496730,['Jodi Picoult']
9780812511820,['Robert Jordan']
9780061150140,['Jodi Picoult']
9780060764910,['C.S. Lewis']
9780595440090,['Lisa Genova']
9780425263910,['Sylvia Day']
9780375814240,"['Roald Dahl', 'Quentin Blake']"
9780446696620,['James Patterson']
9780345453750,['Douglas Adams']
9780340896970,['David Nicholls']
9780060775860,"['Margaret Wise Brown', 'Clement Hurd']"
9780061969550,['Pittacus Lore']
9780140275360,"['Homer', 'Robert Fagles', 'Frédéric Mugler', 'Bernard Knox']"
9780316228530,['J.K. Rowling']
9780385339700,['John Grisham']
9780316777740,['David Sedaris']
9780375840400,['Christopher Paolini']
9780140621680,"['L. Frank Baum', 'W.W. Denslow']"
9780007202300,['C.S. Lewis']
,['E. Lockhart']
9780450031070,['Stephen King']
9780679785900,"['Hunter S. Thompson', 'Ralph Steadman']"
9781416975880,['Cassandra Clare']
9780062268340,['Amy Poehler']
9780743477550,['William Shakespeare']
9781400033420,['Toni Morrison']
9780152063960,['Kristin Cashore']
9780439206470,"['Lemony Snicket', 'Brett Helquist']"
9780449213940,"['Erich Maria Remarque', 'A.W. Wheen']"
9780679805270,['Dr. Seuss']
9781594631760,['Khaled Hosseini']
9780141439750,"['Charles Dickens', 'George Cruikshank', 'Philip Horne']"
9780525423270,['Stephanie Perkins']
9780007173040,['Dr. Seuss']
9781401207920,"['Alan Moore', 'David   Lloyd']"
9780743223130,['David McCullough']
9780553384280,['Dean Koontz']
9780439488400,['Jerry Spinelli']
9781423113390,['Rick Riordan']
9780441788380,['Robert A. Heinlein']
9780965904830,['David Sedaris']
9780141311370,"['Roald Dahl', 'Quentin Blake']"
9780767908180,['Bill Bryson']
9780439227150,['Jack London']
9780385738770,['James Dashner']
9780061142020,['Neil Gaiman']
9780618485220,['Jhumpa Lahiri']
9780670022410,['Deborah Harkness']
9780375704020,"['Haruki Murakami', 'Jay Rubin']"
9780446672210,['Billie Letts']
9780525421580,"['John Green', 'David Levithan']"
9780307276900,['James Frey']
9781595141750,['Richelle Mead']
9780307352150,['Susan Cain']
9780142437340,"['Arthur Miller', 'Christopher Bigsby']"
9780689840920,['Gary Paulsen']
9780765311790,['Brandon Sanderson']
9780451528960,"['Robert Louis Stevenson', 'Vladimir Nabokov', 'Mervyn Peake', 'Dan Chaon']"
9780679889110,['Dr. Seuss']
9780810993140,['Jeff Kinney']
9781599906960,['Sarah J. Maas']
9781595141970,['Richelle Mead']
9780684803360,['Ernest Hemingway']
9780345505330,['Jamie Ford']
9780140120840,"['Patrick Süskind', 'John E. Woods']"
9780060838580,['Eric Schlosser']
9780747599880,['J.K. Rowling']
9780099910110,['Ernest Hemingway']
9780553212280,['Edgar Allan Poe']
9781590302260,"['Sun Tzu', 'Thomas Cleary']"
9780385344230,['William Landay']
9780385334200,['Kurt Vonnegut Jr.']
9780874774240,['Betty Edwards']
9780060838720,['Ann Patchett']
9780739467350,['Jared Diamond']
9780375508420,['Fannie Flagg']
9780385474540,['Chinua Achebe']
9780385338690,['Sophie Kinsella']
9781881273160,['Gary Chapman']
,['Alexandre Dumas']
9781416589650,['Chris Cleave']
9780312532760,['Alyson Noel']
9780590032490,"['Roald Dahl', 'Quentin Blake']"
9780743298020,['Diane Setterfield']
9781595142500,['Richelle Mead']
9781595141990,['Richelle Mead']
9780446676080,['Nicholas Sparks']
9780345521310,['Paula McLain']
9780545044260,['J.K. Rowling']
9780062059960,['Kiera Cass']
9780156001310,"['Umberto Eco', 'William Weaver', 'Seán Barrett']"
9781416914630,"['Beatrice Sparks', 'Anonymous']"
9780802130200,"['John Kennedy Toole', 'Walker Percy']"
9781580495810,['Oscar Wilde']
9781423140600,['Rick Riordan']
9780060855920,['Terry Pratchett']
9781400079280,"['Haruki Murakami', 'Philip Gabriel']"
9780525945570,['Thomas Harris']
9780553803710,['Isaac Asimov']
9780451216950,['J.R. Ward']
9781416989430,['Becca Fitzpatrick']
9780061726810,['Lauren Oliver']
9780679457310,['Arundhati Roy']
9780670024780,['Sue Monk Kidd']
9780141043760,['Liane Moriarty']
9780553380160,"['Stephen Hawking', 'Cao Chi', 'Phạm Văn Thiều']"
9780525951650,['Ken Follett']
9781439148500,['Stephen King']
9780670061050,['Sarah Dessen']
9780525467560,"['A.A. Milne', 'Ernest H. Shepard']"
9780062060560,['S.J. Watson']
9781420925530,['Arthur Conan Doyle']
9780375826730,['Christopher Paolini']
9780310277000,['Rick Warren']
9780312360280,"['P.C. Cast', 'Kristin Cast']"
9780451457810,['Jim Butcher']
9781593082640,"['Jane Austen', 'Alfred MacAdam']"
9780399162410,['Rick Yancey']
9780802142850,['Charles Frazier']
9780060245860,"['Laura Joffe Numeroff', 'Felicia Bond']"
9780312323870,['Emily Giffin']
9780822210890,['Tennessee Williams']
9780385353300,['Emily St. John Mandel']
9781476738020,"['Fredrik Backman', 'Henning Koch']"
9781406321340,['Cassandra Clare']
9781416500190,['Pearl S. Buck']
9780140135150,['John Berger']
9780385335970,['Diana Gabaldon']
,['Anonymous']
9780743495660,['Jennifer Weiner']
9780345368580,"['Chuck Dixon', 'J.R.R. Tolkien', 'David Wenzel', 'Sean Deming']"
9781594489590,['Junot Díaz']
9780061120060,['Zora Neale Hurston']
9780439321600,"['Newt Scamander', 'J.K. Rowling', 'Albus Dumbledore']"
9780316322410,"['Malala Yousafzai', 'Christina Lamb']"
9780141439810,"['Jane Austen', 'Kathryn Sutherland', 'Tony Tanner', 'Claire Lamont']"
9780807014300,['Viktor E. Frankl']
9780618680010,['Richard Dawkins']
9780525422940,['Gayle Forman']
9780345915600,['John Irving']
9780515141430,['Lee Child']
9780375757330,"['Daniel Defoe', 'Gerald McCann', 'Virginia Woolf']"
9780937832390,"['Niccolò Machiavelli', 'Adolph Caso', 'Rufus Goodwin', 'Benjamin Martinez']"
9780440238160,['Philip Pullman']
9780765346520,['Terry Goodkind']
9781439153670,['Kathleen Grissom']
9780316769020,['J.D. Salinger']
9780385720920,['Chuck Palahniuk']
9780374528380,"['Fyodor Dostoyevsky', 'Richard Pevear', 'Larissa Volokhonsky']"
9780375822740,['Jeanne DuPrau']
9780060541810,['Michael Crichton']
9780451933030,['Stephen King']
9780001000390,['Kahlil Gibran']
9780312379830,"['P.C. Cast', 'Kristin Cast']"
9780812550760,['Orson Scott Card']
9781400031700,['Donna Tartt']
9780375725780,['Dave Eggers']
9780439228910,['Anna Sewell']
9780192833980,"['Leo Tolstoy', 'Henry Gifford', 'Aylmer Maude', 'Louise Maude']"
9780679735780,['Bret Easton Ellis']
9780613371650,['Meg Cabot']
9781400034770,['Alexander McCall Smith']
9781582406720,"['Robert Kirkman', 'Tony Moore']"
9780451458000,['Arthur C. Clarke']
9781590525140,['Francine Rivers']
9780842342700,"['Tim LaHaye', 'Jerry B. Jenkins']"
9780062059990,['Kiera Cass']
9780545265360,['Suzanne Collins']
9780805063900,['Barbara Ehrenreich']
9780593053900,['Sophie Kinsella']
9780812517730,['Robert Jordan']
9780743477150,['Patricia Cornwell']
9780385074070,['Edgar Allan Poe']
9780553256700,"['Corrie ten Boom', 'John Sherrill', 'Elizabeth Sherrill']"
9780192835090,['Arthur Conan Doyle']
9780553381540,['Pat Conroy']
9780312283000,['Michael Chabon']
9780802798240,['Simone Elkeles']
9780805072460,"['J.M. Barrie', 'Michael Hague']"
9780689865400,['Scott Westerfeld']
9780965341980,"['Haruki Murakami', 'Jay Rubin']"
9780375507250,['David Mitchell']
9780767902890,"[""Tim O'Brien""]"
9781844137880,['Banksy']
9780061978070,['Lauren Oliver']
9780307277890,['Jeff Lindsay']
9781841493010,['Charlaine Harris']
9780765305110,['Robert Jordan']
9780141439500,"['Jonathan Swift', 'Robert DeMaria Jr.']"
9780743482750,"['William Shakespeare', 'Barbara A. Mowat', 'Paul Werstine', 'Gail Kern Paster', 'Robert          Jackson']"
9780393320980,"['Unknown', 'Seamus Heaney']"
9781401207530,"['Frank Miller', 'David Mazzucchelli', 'Richmond Lewis', ""Dennis O'Neil""]"
9780062409850,['Harper Lee']
9780316143480,['David Sedaris']
9780316134030,['Laini Taylor']
9781409151170,['Victoria Aveyard']
9781400069290,['Charles Duhigg']
9780679751530,['John Berendt']
9781301949820,['Colleen Hoover']
9780142437020,"['Frances Hodgson Burnett', 'Nancy Bond']"
9780142406250,['Sarah Dessen']
9781595143070,['Richelle Mead']
9780064400020,"['Laura Ingalls Wilder', 'Garth Williams']"
9780380002560,"['Margery Williams Bianco', 'William   Nicholson']"
9780060589460,['Robert M. Pirsig']
9780375759240,"['H.G. Wells', 'Arthur C. Clarke']"
9780060887310,['Sara Shepard']
9780670241330,['Don Freeman']
9781594200820,['Michael Pollan']
9780316176480,['Kate Atkinson']
9780446696130,['Nicholas Sparks']
9780450574580,['Stephen King']
9780385336000,['Diana Gabaldon']
9780393315060,"['Kenneth Branagh', 'William Shakespeare']"
9780307348240,['Stephen King']
9780747560590,['Jeffrey Eugenides']
9780441012180,['Charlaine Harris']
9780141439590,"['Thomas Hardy', 'Tim Dolin', 'Margaret R. Higonnet']"
9780192840390,"['Gustave Flaubert', 'Margaret Mauldon', 'Malcolm Bowie', 'Mark Overstall']"
9780394820380,"['Norton Juster', 'Jules Feiffer']"
9780765326360,['Brandon Sanderson']
9781841493020,['Charlaine Harris']
9780786851970,['Ned Vizzini']
9780765316880,['Brandon Sanderson']
9780345525540,['Vanessa Diffenbaugh']
9781563893410,"['Frank Miller', 'Klaus Janson', 'Lynn Varley']"
9780446617800,['James Patterson']
9781573225520,['Nick Hornby']
9780446696110,['Nicholas Sparks']
9780385721680,['Margaret Atwood']
9780060574220,['John Gray']
9780060899230,['Anthony Bourdain']
9780099244720,['Michael Crichton']
9780486266890,['Voltaire']
9780374480100,['Natalie Babbitt']
9782253147700,"['Stephen King', 'Marie Milpois']"
9780001713220,['P.D. Eastman']
9780714833550,['E.H. Gombrich']
9780312642970,['Marissa Meyer']
9780751532720,['Robert T. Kiyosaki']
9781442426640,['Becca Fitzpatrick']
9780670020550,['Lev Grossman']
9781421501680,"['Tsugumi Ohba', 'Takeshi Obata']"
9780689875340,['Libba Bray']
9780060529700,['Jonathan Safran Foer']
9780752863890,['Robert Ludlum']
9780425266750,['Tammara Webber']
9780140439440,"['Charles Dickens', 'Jeremy Tambling']"
9780316013680,"['Sherman Alexie', 'Ellen Forney']"
9780679760800,"['Mikhail Bulgakov', ""Katherine Tiernan O'Connor"", 'Diana Burgin', 'Ellendea Proffer']"
9780553383040,['Ursula K. Le Guin']
9780763616050,"['Kate DiCamillo', 'Chris Sheban']"
9780743253970,['John Knowles']
9780385339600,['John Grisham']
9780142437230,"['Miguel de Cervantes Saavedra', 'Roberto González Echevarría', 'John Rutherford']"
9780006480100,['Robin Hobb']
9780345418920,['Douglas Adams']
9780385739150,['Lauren Kate']
9780723247710,['Beatrix Potter']
9780064405040,"['C.S. Lewis', 'Pauline Baynes']"
9780765316900,['Brandon Sanderson']
9780679746040,['Susanna Kaysen']
9780061173390,['Chelsea Handler']
9780743278900,"['Richard Bach', 'Russell Munson']"
9781481426300,['Cassandra Clare']
9780920668380,"['Robert Munsch', 'Sheila McGraw']"
9781416524520,['Stephen King']
9780670025820,['Daniel James Brown']
9780618391110,"['J.R.R. Tolkien', 'Christopher Tolkien', 'Ted Nasmith']"
9780451210850,['Stephen King']
9780330449600,['Kate Morton']
9780099428640,"['Franz Kafka', 'Edwin Muir', 'Willa Muir', 'Max Brod']"
9780142501560,['Sarah Dessen']
9780743275020,['Jodi Picoult']
9780385523390,['Piper Kerman']
9780451528020,"['Arthur Conan Doyle', 'Anne Perry']"
9780374275630,['Daniel Kahneman']
9780689841580,['Judy Blume']
9780553813950,['Nicholas Sparks']
9781476754450,['Stephen King']
9780441014940,['Charlaine Harris']
9780375706780,['Chris Bohjalian']
9780395389490,['Chris Van Allsburg']
9780140544510,"['Jon Scieszka', 'Lane Smith']"
9780425134350,['Tom Clancy']
9780061124270,"['Paulo Coelho', 'Margaret Jull Costa']"
9780385349950,"['Sheryl Sandberg', 'Nell Scovell']"
9780441013330,['Charlaine Harris']
9780062085480,['Tahereh Mafi']
9780441783590,['Robert A. Heinlein']
9780385342060,['Sophie Kinsella']
9781857993290,"['Jostein Gaarder', 'Paulette Møller']"
9780316134120,['Mark Cotta Vaz']
9780553278220,['Ray Bradbury']
9780307592840,['Jennifer Egan']
9780753454950,"['Johanna Spyri', 'Angelo  Rinaldi', 'Beverly Cleary']"
9780061015720,['Michael Crichton']
9780007202320,['C.S. Lewis']
9780525950070,['Ken Follett']
9780312360310,"['P.C. Cast', 'Kristin Cast']"
,['Colleen Hoover']
9780060874160,['Alex Flinn']
9780140424390,"['Geoffrey Chaucer', 'Nevill Coghill']"
9780312348650,['Emily Giffin']
9780375856110,['Christopher Paolini']
9780307593310,"['Haruki Murakami', 'Jay Rubin', 'Philip Gabriel']"
9781840224020,['Harriet Beecher Stowe']
9780060809250,"['Gaston Leroux', 'Alexander Teixeira de Mattos']"
9780374158460,['Jonathan Franzen']
9780142421710,['Ally Condie']
9781423100030,['Ally Carter']
9781416562600,['Aravind Adiga']
9781841156740,['Jonathan Franzen']
9781921351430,['Barack Obama']
9780060541840,['Michael Crichton']
9780689711730,"['Judith Viorst', 'Ray Cruz']"
9780618101370,['Jhumpa Lahiri']
9780060838650,['Howard Zinn']
9780679745660,['Truman Capote']
9780345504970,['Justin Cronin']
9780060515200,['Neil Gaiman']
9780670011940,['Sarah Dessen']
9781594205710,['Celeste Ng']
9780553383800,"['Isabel Allende', 'Magda Bogin']"
9780451155760,['Stephen King']
9780646418440,"['Agatha Christie', 'Ροζίτα Σώκου']"
9780425200450,['Agatha Christie']
9780307271080,['Chimamanda Ngozi Adichie']
9780446611080,['James Patterson']
9780451167800,['Stephen King']
9780425263920,['Sylvia Day']
9780307266310,['Christopher McDougall']
9781616203210,['Gabrielle Zevin']
9780590133370,['Ludwig Bemelmans']
9781585424340,['Napoleon Hill']
9780060885370,"['Laura Ingalls Wilder', 'Garth Williams']"
9780765356150,['Susanna Clarke']
9780446696140,['Nicholas Sparks']
9781423146730,['Rick Riordan']
9780061448770,['Michael  Grant']
9780446615860,['Nicholas Sparks']
9780743226720,['David McCullough']
9780330419120,['Jon Krakauer']
9780061928120,['Jess Walter']
9780307237700,['Barack Obama']
9780743455960,['Stephen King']
9780312364080,['Kristin Hannah']
9780345418980,['Michael Crichton']
9780312348670,['Emily Giffin']
9780316206880,"['Robert Galbraith', 'J.K. Rowling']"
9780345476880,['Anne Rice']
9780062049800,['Ann Patchett']
9780374533570,['Matthew Quick']
9780760728500,"['Jules Verne', 'Anthony Bonner']"
9780743272490,['Philippa Gregory']
9780151009980,"['Virginia Woolf', 'Maureen Howard']"
9780671024240,['Stephen King']
9780786226740,['John Irving']
9780451190760,"['Richard Bachman', 'Stephen King']"
9780140449070,"['Jules Verne', 'Michael Glencross', 'Brian W. Aldiss']"
9780060739490,['Sharon Creech']
9780060589290,"['Paulo Coelho', 'Margaret Jull Costa']"
9780316767730,['J.D. Salinger']
9780316109700,['Julie Powell']
9781416912040,['Neal Shusterman']
9780399256770,['Marie Lu']
9780743482770,['William Shakespeare']
9780435233080,['Arthur Miller']
9780446579930,['Nicholas Sparks']
9780545422900,['Kate Egan']
,['William Faulkner']
9780452287590,['Eckhart Tolle']
9781591164420,['Tite Kubo']
9781451666180,['Allie Brosh']
9780812513740,['Robert Jordan']
9781920769210,['Gregory David Roberts']
