isbn_13,isbn_10,orig_title,orig_publication_yr,language_code
9.7814E+12,1401308589,The Five People You Meet in Heaven,2003,eng
9.78045E+12,451528824,Anne of Green Gables,1908,eng
9.78142E+12,1416914307,City of Glass,2009,eng
9.78055E+12,055357342X,A Storm of Swords,2000,eng
9.78006E+12,006075995X,Divine Secrets of the Ya-Ya Sisterhood,1996,eng
9.78044E+12,440242940,Outlander,1991,eng
9.78014E+12,142437263,The Scarlet Letter,1850,eng
9.78159E+12,1594744769,Miss Peregrine’s Home for Peculiar Children,2011,eng
9.78031E+12,030726999X,Luftslottet som sprängdes,2007,eng
9.7808E+12,804139024,The Martian,2012,eng
9.78045E+12,451207149,The Pillars of the Earth,1989,eng
9.78148E+12,1476746583,,2014,eng
9.7814E+12,1400064163,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2010,eng
9.78067E+12,671027387,Deception Point,2001,eng
9.78032E+12,316055433,The Goldfinch,2013,eng
9.78045E+12,452287022,Girl with a Pearl Earring,1999,eng
9.78053E+12,525421033,If I Stay,2009,eng
9.78031E+12,312353766,The Red Tent,1997,eng
9.78079E+12,786856866,The Sea of Monsters,2006,eng
9.78045E+12,446528056,Dear John,2006,eng
9.78142E+12,1416914293,City of Ashes,2008,eng
9.78074E+12,743477103,The Tragedy of Macbeth,1606,eng
9.78062E+12,618346260,The Two Towers,1954,eng
9.78031E+12,031232118X,Something Borrowed,2004,eng
9.78039E+12,394800168,Green Eggs and Ham,1960,eng
9.78014E+12,142403881,Charlie and the Chocolate Factory,1964,eng
9.78142E+12,1423101464,The Battle of the Labyrinth,2008,eng
9.78019E+12,192833596,Great Expectations,1860,eng
,,L’Étranger,1942,eng
9.78142E+12,142311339X,The Lost Hero,2010,eng
9.78125E+12,1250012570,Eleanor & Park,2013,eng
9.78055E+12,055358202X,A Feast for Crows,2005,eng
9.78053E+12,525423648,Matched,2010,eng
9.78075E+12,747263744,American Gods,2001,eng
9.78039E+12,385199570,The Stand,1978,eng
9.78045E+12,446547565,The Last Song,2008,eng
9.78055E+12,552151696,Digital Fortress,1998,eng
9.78014E+12,141439580,Emma,1815,eng
9.78035E+12,345803922,Анна Каренина,1877,eng
9.78074E+12,739380338,The Last Olympian,2009,eng
9.78045E+12,451169514,It,1986,eng
9.78014E+12,143058142,Преступление и наказание,1866,eng
9.78006E+12,61148512,The Bell Jar,1963,eng
9.78001E+12,7205236,Angela's Ashes: A Memoir,1996,eng
9.78055E+12,553208845,Siddhartha,1922,eng
9.78068E+12,679745580,In Cold Blood,1965,eng
9.78032E+12,316042676,Beautiful Creatures,2009,eng
9.78142E+12,1416975861,Clockwork Angel,2010,eng
9.78014E+12,141301066,Matilda,1988,eng
9.78039E+12,385534639,The Night Circus,2011,eng
9.78074E+12,743227441,The Other Boleyn Girl,2001,eng
9.78069E+12,689865384,Uglies,2005,eng
,,A Dance with Dragons,2011,eng
9.78062E+12,618640150,The Lord of the Rings,1955,eng
9.78031E+12,307592731,Wild: From Lost to Found on the Pacific Crest Trail ,2012,eng
9.78093E+12,930289234,Watchmen,1987,eng
9.78076E+12,075640407X,The Name of the Wind,2007,eng
9.78032E+12,316017922,Outliers: The Story of Success,2008,eng
9.78014E+12,142437247,"Moby Dick; or, The Whale",1851,eng
9.78044E+12,441008534,Dead Until Dark,2001,eng
9.78074E+12,739461192,Marley & Me: Life and Love with the World's Worst Dog,2005,eng
9.78031E+12,312330871,Ten Little Niggers,1939,eng
9.78039E+12,385504225,The Lost Symbol,2009,eng
9.78142E+12,1416989412,"Hush, Hush",2009,eng
,,Beautiful Disaster,2011,eng
9.78156E+12,1561797464,A Christmas Carol,1843,eng
9.78035E+12,345476875,Interview with the Vampire,1976,eng
9.78006E+12,62059939,The Selection,2012,eng
9.78031E+12,312362080,One for the Money,1994,eng
9.7814E+12,1400052173,The Immortal Life of Henrietta Lacks,2010,eng
9.7801E+12,99446782,The Silence of the Lambs,1988,eng
9.7816E+12,159514174X,,2007,eng
9.78032E+12,316010669,Blink: The Power of Thinking Without Thinking,2005,eng
9.78039E+12,038572179X,Atonement,2001,eng
9.78055E+12,553213695,Die Verwandlung,1915,eng
9.78014E+12,141382899,The Titan's Curse,2007,eng
9.78031E+12,030788743X,,2011,eng
9.78155E+12,1554681723,The Art of Racing in the Rain,2006,eng
9.78043E+12,425263908,Bared to You,2012,eng
9.78007E+12,66238501,The Chronicles of Narnia,1956,eng
9.78032E+12,316043133,Twilight: The Complete Illustrated Movie Companion,,eng
9.78156E+12,1558743669,"A Child Called ""It"": One Child's Courage to Survive",1995,eng
9.78075E+12,752864327,The Bourne Identity,1980,eng
9.78079E+12,786817879,Artemis Fowl,2001,eng
9.78039E+12,385738935,Fallen,2009,eng
9.78014E+12,142000655,East of Eden  ,1952,eng
9.78031E+12,307341569,Dark Places,2009,eng
9.78039E+12,385339089,The Client,1993,eng
9.78031E+12,312291639,The Nanny Diaries,2002,eng
9.78045E+12,451527747,Alice's Adventures in Wonderland,1865,eng
9.78019E+12,192802631,Persuasion,1817,eng
9.78031E+12,312370830,Elle s'appelait Sarah,2007,eng
9.78045E+12,452284694,The Gunslinger,1982,eng
9.7814E+12,140003468X,El amor en los tiempos del cólera,1985,eng
9.7804E+12,399159347,The Husband's Secret ,2013,eng
9.78039E+12,385494785,Into Thin Air: A Personal Account of the Mt. Everest Disaster,1997,eng
9.78142E+12,1416524304,Carrie,1974,eng
9.78031E+12,031242227X,Running with Scissors,2002,eng
9.78031E+12,307346609,World War Z: An Oral History of the Zombie War,2006,eng
9.78039E+12,385537859,Inferno,2013,eng
9.78044E+12,440227534,Number the Stars,1989,eng
9.78045E+12,446692638,Along Came a Spider,1993,eng
9.78045E+12,450417395,Misery,1987,eng
9.78031E+12,307341542,Sharp Objects,2006,eng
9.78031E+12,312360266,Marked,2007,eng
9.78074E+12,743269519,The 7 Habits of Highly Effective People,1989,eng
9.78074E+12,743477545,A Midsummer Night's Dream,1595,eng
9.78062E+12,618711651,Extremely Loud and Incredibly Close,2005,eng
9.78038E+12,375869026,Wonder,2012,eng
9.78039E+12,039480001X,The Cat in the Hat,1957,eng
9.78032E+12,316206849,The Cuckoo's Calling,2013,eng
9.78055E+12,545123267,Shiver,2009,eng
9.78045E+12,452011876,Atlas Shrugged,1957,eng
9.78014E+12,143038257,Three Cups of Tea ,2006,eng
9.78052E+12,517223627,,1865,eng
9.78014E+12,143034901,La sombra del viento,2001,eng
9.78039E+12,385738757,The Scorch Trials,2010,eng
9.78067E+12,,How to Win Friends and Influence People,1936,eng
9.78077E+12,767900383,Under the Tuscan Sun,1996,eng
9.78059E+12,590920685,Ella Enchanted,1997,eng
9.78074E+12,743297334,The Sun Also Rises,1926,eng
9.78006E+12,61120073,A Tree Grows In Brooklyn ,1943,eng
9.78045E+12,446677388,Kiss the Girls,1995,eng
9.78031E+12,312577222,The Nightingale,2015,eng
9.7814E+12,1400078776,Never Let Me Go,2005,eng
9.78079E+12,786890754,"PS, I Love You",2003,eng
9.78184E+12,1844080382,Rebecca,1938,eng
9.78055E+12,552995878,Como agua para chocolate,1989,eng
9.78045E+12,451205766,The Godfather,1969,eng
9.78053E+12,525476881,An Abundance of Katherines,2006,eng
9.78055E+12,553803719,Foundation,1951,eng
9.78006E+12,62255657,The Ocean at the End of the Lane,2013,eng
9.78006E+12,60513063,A Light in the Attic,1981,eng
9.78075E+12,751565350,"Harry Potter and the Cursed Child, Parts One and Two",2016,eng
9.78006E+12,61726834,Delirium,2011,eng
9.78039E+12,385339704,The Pelican Brief,1992,eng
9.78006E+12,61139378,Coraline,2002,eng
9.78006E+12,60853980,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",1990,eng
9.78014E+12,140042598,On the Road,1955,eng
9.78148E+12,1476729085,The Rosie Project,2013,eng
9.78045E+12,446579939,The Lucky One,2008,eng
9.78045E+12,451191153,The Fountainhead,1943,eng
9.78043E+12,425172902,The Hunt for Red October,1984,eng
9.78038E+12,038039586X,Watership Down,1972,eng
9.78031E+12,307886263,Is Everyone Hanging Out Without Me? (And Other Concerns),2011,eng
9.78038E+12,375414495,Cutting for Stone,2009,eng
9.78006E+12,006112527X,The Voyage of the Dawn Treader,1951,eng
9.78075E+12,753453800,Treasure Island,1882,eng
9.78142E+12,1423140591,The Son of Neptune ,2011,eng
9.78145E+12,1451627289,11/22/1963,2011,eng
9.78024E+12,241003008,The Very Hungry Caterpillar,1969,eng
9.78014E+12,140285601,Cat's Cradle,1963,eng
9.78045E+12,451528557,The Time Machine,1895,eng
9.78085E+12,849946158,,2010,eng
9.78039E+12,385751060,The Boy in the Striped Pyjamas,2006,eng
9.78189E+12,1892295490,Heart of Darkness,1899,eng
9.78158E+12,1582701709,The Secret,2006,eng
9.78006E+12,60987561,I Know This Much Is True ,1998,eng
9.78142E+12,1416524347,Pet Sematary,1983,eng
9.78067E+12,671021001,She's Come Undone,1992,eng
9.78076E+12,756404738,The Wise Man's Fear,2011,eng
9.78044E+12,440241901,Can You Keep a Secret?,2003,eng
9.78144E+12,1442403543,City of Fallen Angels,2011,eng
9.78074E+12,743418174,Good in Bed,2001,eng
9.78038E+12,380018179,The Thorn Birds,1977,eng
9.78006E+12,60530928,The Graveyard Book,2008,eng
9.78145E+12,1451681739,The Light Between Oceans,2012,eng
9.78044E+12,439709105,Tintenherz,2003,eng
9.78009E+12,91883768,Who Moved My Cheese?,1998,eng
9.78031E+12,307279464,A Walk in the Woods,1997,eng
9.78055E+12,553279378,I Know Why the Caged Bird Sings,1969,eng
9.78006E+12,61950726,Orphan Train,2013,eng
9.78144E+12,1442416866,City of Lost Souls,2012,eng
9.78032E+12,316204277,"Where'd You Go, Bernadette",2012,eng
9.78038E+12,375806814,Where the Red Fern Grows,1961,eng
9.78006E+12,60557818,Neverwhere,1996,eng
9.78057E+12,571224385,Nesnesitelná lehkost bytí,1984,eng
,,,2013,eng
9.78055E+12,552135399,A Prayer for Owen Meany,1989,eng
9.78032E+12,316182540,White Oleander,1999,eng
9.7804E+12,039925675X,Legend,2011,eng
9.78074E+12,743496728,Nineteen Minutes,2007,eng
9.78081E+12,812511816,The Eye of the World,1990,eng
9.78006E+12,61150142,The Pact,1998,eng
9.78006E+12,60764902,The magician's nephew,1953,eng
9.7806E+12,595440096,Still Alice,2007,eng
9.78043E+12,425263916,Reflected in You,2012,eng
9.78038E+12,375814248,James and the Giant Peach,1961,eng
9.78045E+12,446696617,1st To Die,2001,eng
9.78035E+12,345453743,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,1996,eng
9.78034E+12,340896965,One Day,2009,eng
9.78006E+12,60775858,,1947,eng
9.78006E+12,61969559,I Am Number Four,2010,eng
9.78014E+12,140275363,Ἰλιάς,-750,eng
9.78032E+12,316228532,The Casual Vacancy,2012,eng
9.78039E+12,385339690,The Runaway Jury,1996,eng
9.78032E+12,316777730,Naked,1997,eng
9.78038E+12,375840400,Eldest,2005,eng
9.78014E+12,140621679,The Wonderful Wizard of Oz,1900,eng
9.78001E+12,000720230X,Prince Caspian: The Return to Narnia,1951,eng
,,We Were Liars,2014,eng
9.78045E+12,450031063,Salem's Lot,1975,eng
9.78068E+12,679785892,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,1971,eng
9.78142E+12,1416975888,Clockwork Prince,2011,eng
9.78006E+12,62268341,Yes Please,2014,eng
9.78074E+12,743477553,"The Tragedy of Othello, The Moor of Venice",1603,eng
9.7814E+12,1400033411,Beloved,1987,eng
9.78015E+12,015206396X,Graceling,2008,eng
9.78044E+12,439206472,The Bad Beginning,1999,eng
9.78045E+12,449213943,Im Westen nichts Neues,1929,eng
9.78068E+12,679805273,"Oh, the Places You'll Go!",1990,eng
9.78159E+12,159463176X,And The Mountains Echoed,2012,eng
9.78014E+12,141439742,Oliver Twist,1838,eng
9.78053E+12,525423273,Anna and the French Kiss,2010,eng
9.78001E+12,7173040,How the Grinch Stole Christmas!,1957,eng
9.7814E+12,1401207928,V for Vendetta,1990,eng
9.78074E+12,743223136,John Adams,2001,eng
9.78055E+12,553384287,Odd Thomas,2003,eng
9.78044E+12,439488400,Stargirl,2000,eng
9.78142E+12,1423113381,The Red Pyramid,2010,eng
9.78044E+12,441788386,Stranger in a Strange Land,1961,eng
9.78097E+12,965904830,Dress Your Family in Corduroy and Denim,2004,eng
9.78014E+12,141311371,The BFG,1982,eng
9.78077E+12,076790818X,A Short History of Nearly Everything,2003,eng
9.78044E+12,439227143,The Call of the Wild,1903,eng
9.78039E+12,385738773,The Death Cure,2011,eng
9.78006E+12,61142026,Stardust,1999,eng
9.78062E+12,618485228,The Namesake,2003,eng
9.78067E+12,670022411,A Discovery of Witches,2011,eng
9.78038E+12,375704027,ノルウェイの森 [Noruwei no Mori],1987,eng
9.78045E+12,446672211,Where the Heart Is,1995,eng
9.78053E+12,525421580,"Will Grayson, Will Grayson",2010,eng
9.78031E+12,307276902,A Million Little Pieces,2003,eng
9.7816E+12,1595141758,Frostbite,2008,eng
9.78031E+12,307352145,Quiet: The Power of Introverts in a World that Can't Stop Talking,2012,eng
9.78014E+12,142437336,The Crucible,1953,eng
9.78069E+12,689840926,Hatchet,1986,eng
9.78077E+12,076531178X,Mistborn : The Final Empire,2006,eng
9.78045E+12,451528956,The Strange Case of Dr Jekyll and Mr Hyde,1886,eng
9.78068E+12,679889108,The Lorax,1971,eng
9.78081E+12,810993139,Greg Heffley's Journal,2004,eng
9.7816E+12,1599906953,Throne of Glass,2012,eng
9.7816E+12,1595141979,Shadow Kiss,2008,eng
9.78068E+12,684803356,For Whom the Bell Tolls,1940,eng
9.78035E+12,345505336,Hotel on the Corner of Bitter and Sweet,2009,eng
9.78014E+12,140120831,Das Parfum. Die Geschichte eines Mörders,1985,eng
9.78006E+12,60838582,Fast Food Nation : The Dark Side of the All-American Meal ,2001,eng
9.78075E+12,747599874,The Tales of Beedle the Bard,2007,eng
9.7801E+12,99910101,A Farewell to Arms,1929,eng
9.78055E+12,553212281,The Tell-Tale Heart,1843,eng
9.78159E+12,1590302257,孫子兵法 [Sūnzi bīngfǎ],-500,eng
9.78039E+12,385344228,Defending Jacob,2012,eng
9.78039E+12,385334206,Breakfast of Champions,1973,eng
9.78087E+12,874774241,Drawing on the Right Side of the Brain,1979,eng
9.78006E+12,60838728,Bel Canto,2001,eng
9.78074E+12,739467352,"Guns, Germs, and Steel: The Fates of Human Societies",1997,eng
9.78038E+12,375508414,Fried Green Tomatoes at the Whistle Stop Cafe,1987,eng
9.78039E+12,385474547,Things Fall Apart,1958,eng
9.78039E+12,385338694,The Undomestic Goddess,2005,eng
9.78188E+12,1881273156,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,1990,eng
,,Les Trois Mousquetaires,1844,eng
9.78142E+12,1416589643,The Other Hand,2008,eng
9.78031E+12,031253275X,Evermore,2009,eng
9.78059E+12,590032496,The Witches,1983,eng
9.78074E+12,743298020,The Thirteenth Tale,2006,eng
9.7816E+12,1595142509,Spirit Bound,2010,eng
9.7816E+12,1595141987,Blood Promise,2009,eng
9.78045E+12,446676071,Message in a Bottle,1998,eng
9.78035E+12,345521307,The Paris Wife,2011,eng
9.78055E+12,545044251,Complete Harry Potter Boxed Set,1998,eng
9.78006E+12,62059963,The Elite,2013,eng
9.78016E+12,156001314,Il nome della rosa,1980,eng
9.78142E+12,1416914633,Go Ask Alice,1971,eng
9.7808E+12,802130208,A Confederacy of Dunces,1980,eng
9.78158E+12,158049580X,The Importance of Being Earnest,1895,eng
9.78142E+12,1423140605,The Mark of Athena,2012,eng
9.78006E+12,60855924,The Colour of Magic,1983,eng
9.7814E+12,1400079276,海辺のカフカ [Umibe no Kafuka],2002,eng
9.78053E+12,525945563,Red Dragon,1981,eng
9.78055E+12,553803700,"I, Robot",1950,eng
9.78045E+12,451216954,Dark Lover,2005,eng
9.78142E+12,1416989439,Crescendo,2010,eng
9.78006E+12,61726818,Before I Fall,2010,eng
9.78068E+12,679457313,The God of Small Things,1997,eng
9.78067E+12,670024783,The Invention of Wings,2014,eng
9.78014E+12,141043768,What Alice Forgot,2009,eng
9.78055E+12,553380168,A Brief History of Time: From the Big Bang to Black Holes,1987,eng
9.78053E+12,525951652,Fall of Giants,2010,eng
9.78144E+12,1439148503,Under the Dome,2009,eng
9.78067E+12,670061050,Just Listen,2006,eng
9.78053E+12,525467564,Winnie-the-Pooh,1926,eng
9.78006E+12,62060554,Before I Go to Sleep,2011,eng
9.78142E+12,1420925539,A Study in Scarlet,1887,eng
9.78038E+12,375826726,Brisingr,2008,eng
9.78031E+12,310276993,The Purpose Driven Life: What on Earth am I Here For?,2002,eng
9.78031E+12,312360282,Betrayed: a House of Night Novel,2007,eng
9.78045E+12,451457811,Storm Front,2000,eng
9.78159E+12,1593082649,Northanger Abbey,1817,eng
9.7804E+12,399162410,The 5th Wave,2013,eng
9.7808E+12,802142842,Cold Mountain,1997,eng
9.78006E+12,60245867,If You Give a Mouse a Cookie,1985,eng
9.78031E+12,312323867,Something Blue,2005,eng
9.78082E+12,822210894,A Streetcar Named Desire,1947,eng
9.78039E+12,385353308,Station Eleven,2014,eng
9.78148E+12,1476738017,En man som heter Ove,2012,eng
9.78141E+12,1406321346,Clockwork Princess,2013,eng
9.78142E+12,1416500189,The Good Earth,1931,eng
9.78014E+12,140135154,Ways of Seeing,1972,eng
9.78039E+12,385335970,Dragonfly in Amber,1992,eng
,,,1611,eng
9.78074E+12,743495667,In Her Shoes,2002,eng
9.78035E+12,345368584,The Hobbit,1989,eng
9.78159E+12,1594489580,The Brief Wondrous Life of Oscar Wao,2007,eng
9.78006E+12,61120065,Their Eyes Were Watching God,1937,eng
9.78044E+12,439321603,Fantastic Beasts and Where to Find Them,2001,eng
9.78032E+12,316322407,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,2012,eng
9.78014E+12,141439807,Mansfield Park,1814,eng
9.78081E+12,080701429X,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,1946,eng
9.78062E+12,618680004,The God Delusion,2006,eng
9.78053E+12,525422943,Where She Went,2011,eng
9.78035E+12,345915593,The World According to Garp,1978,eng
9.78052E+12,515141429,Killing Floor,1997,eng
9.78038E+12,375757325,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",1719,eng
9.78094E+12,937832383,Il Principe,1513,eng
9.78044E+12,440238153,The Amber Spyglass,2000,eng
9.78077E+12,765346524,Wizard's First Rule,1994,eng
9.78144E+12,1439153663,The Kitchen House,2010,eng
9.78032E+12,316769029,Franny and Zooey,1961,eng
9.78039E+12,385720920,Choke,2001,eng
9.78037E+12,374528373,Братья Карамазовы,1880,eng
9.78038E+12,375822747,The City of Ember,2003,eng
9.78006E+12,60541814,The Andromeda Strain,1969,eng
9.78045E+12,451933028,The Green Mile,1996,eng
9.78E+12,000100039X,The Prophet,1923,eng
9.78031E+12,312379838,Untamed: A House of Night Novel,2008,eng
9.78081E+12,812550757,Speaker for the Dead,1986,eng
9.7814E+12,1400031702,The Secret History,1992,eng
9.78038E+12,375725784,A Heartbreaking Work of Staggering Genius,2000,eng
9.78044E+12,439228905,Black Beauty,1877,eng
9.78019E+12,192833987,Война и миръ,1869,eng
9.78068E+12,679735771,American Psycho,1991,eng
9.78061E+12,613371658,The Princess Diaries,2000,eng
9.7814E+12,1400034779,The No. 1 Ladies' Detective Agency ,1998,eng
9.78158E+12,1582406723,"The Walking Dead, Vol. 1: Days Gone Bye",2004,eng
9.78045E+12,451457994,2001: A Space Odyssey,1968,eng
9.78159E+12,1590525132,,1991,eng
9.78084E+12,842342702,Left Behind:  A Novel of the Earth's Last Days,1995,eng
9.78006E+12,62059998,The One,2014,eng
9.78055E+12,545265355,The Hunger Games Box Set,2010,eng
9.78081E+12,805063897,Nickel and Dimed: On (Not) Getting By in America,2001,eng
9.78059E+12,593053893,Remember Me?,2008,eng
9.78081E+12,812517725,The Great Hunt,1990,eng
9.78074E+12,743477154,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,1990,eng
9.78039E+12,385074077,The Complete Tales of Edgar Allan Poe,1849,eng
9.78055E+12,553256696,The Hiding Place,1971,eng
9.78019E+12,192835084,The Adventures of Sherlock Holmes,1892,eng
9.78055E+12,553381547,The Prince of Tides,1986,eng
9.78031E+12,312282990,The Amazing Adventures of Kavalier & Clay,2000,eng
9.7808E+12,802798233,Perfect Chemistry,2008,eng
9.78081E+12,805072454,Peter Pan,1904,eng
9.78069E+12,689865392,Pretties,2005,eng
9.78097E+12,965341984,ねじまき鳥クロニクル [Nejimakidori kuronikuru],1994,eng
9.78038E+12,375507256,Cloud Atlas,2004,eng
9.78077E+12,767902890,The Things They Carried,1990,eng
9.78184E+12,1844137872,Wall and Piece,1988,eng
9.78006E+12,006197806X,Pandemonium,2012,eng
